,molecule_chembl_id,IC50,units,smiles,pIC50
22,CHEMBL3892310,0.13,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21,9.886056647693163
23,CHEMBL51853,0.13,nM,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.886056647693163
24,CHEMBL417478,0.16,nM,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.795880017344075
25,CHEMBL93032,0.17,nM,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,9.769551078621726
26,CHEMBL592617,0.17,nM,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.769551078621726
27,CHEMBL418967,0.17,nM,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC,9.769551078621726
28,CHEMBL2031302,0.18,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC,9.744727494896694
29,CHEMBL166093,0.18,nM,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.744727494896694
30,CHEMBL166154,0.19,nM,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,9.721246399047171
31,CHEMBL165864,0.19,nM,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.721246399047171
32,CHEMBL3753235,0.2,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.698970004336019
33,CHEMBL437879,0.208,nM,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC,9.681936665037238
34,CHEMBL161956,0.22,nM,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.657577319177793
35,CHEMBL2031300,0.23,nM,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.638272163982407
36,CHEMBL316064,0.24,nM,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC,9.619788758288394
37,CHEMBL127041,0.24,nM,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.619788758288394
38,CHEMBL328955,0.25,nM,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991327963
39,CHEMBL52913,0.25,nM,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,9.602059991327963
40,CHEMBL3360608,0.26,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.585026652029182
41,CHEMBL152905,0.27,nM,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,9.568636235841012
42,CHEMBL2031303,0.27,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,9.568636235841012
43,CHEMBL2031298,0.27,nM,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.568636235841012
44,CHEMBL3929484,0.27,nM,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.568636235841012
45,CHEMBL128468,0.28,nM,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.55284196865778
46,CHEMBL355816,0.28,nM,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.55284196865778
47,CHEMBL2031297,0.28,nM,CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.55284196865778
48,CHEMBL2031305,0.29,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,9.537602002101044
49,CHEMBL2029438,0.29,nM,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.537602002101044
50,CHEMBL426580,0.29,nM,Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1,9.537602002101044
51,CHEMBL2029436,0.3,nM,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.522878745280337
52,CHEMBL3357644,0.3,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCOCC1,9.522878745280337
53,CHEMBL203644,0.3,nM,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.522878745280337
54,CHEMBL4290812,0.3,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,9.522878745280337
55,CHEMBL4078431,0.3,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,9.522878745280337
56,CHEMBL4127317,0.3,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.522878745280337
57,CHEMBL3360603,0.31,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.508638306165727
58,CHEMBL3360606,0.32,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],9.494850021680094
59,CHEMBL3355877,0.32,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],9.494850021680094
60,CHEMBL3360619,0.33,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.481486060122112
61,CHEMBL366580,0.34,nM,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,9.468521082957745
62,CHEMBL91980,0.35,nM,Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,9.455931955649724
63,CHEMBL163369,0.35,nM,OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.455931955649724
64,CHEMBL603266,0.36,nM,O=C(Cn1sccc1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.443697499232712
65,CHEMBL599863,0.37,nM,O=C(CNC(=O)Oc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.431798275933005
66,CHEMBL3360618,0.37,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],9.431798275933005
67,CHEMBL39320,0.37,nM,Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,9.431798275933005
68,CHEMBL3895468,0.37,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC12COCC1C2,9.431798275933005
69,CHEMBL2447950,0.38,nM,CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC.Cl,9.42021640338319
70,CHEMBL2029434,0.38,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C(C)C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.42021640338319
71,CHEMBL4129646,0.4,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(CCC)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,9.397940008672037
72,CHEMBL51741,0.4,nM,C=CC(=O)Nc1ccc2ncnc(N3CCc4ccc(Br)cc43)c2c1,9.397940008672037
73,CHEMBL3901622,0.4,nM,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN(C)C)cc3)cc12)c1ccccc1,9.397940008672037
74,CHEMBL4112924,0.4,nM,CO[C@@H]1COC2C1OC[C@H]2Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,9.397940008672037
75,CHEMBL3759317,0.4,nM,COc1cc(C(=O)NCCN(C)C)cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.397940008672037
76,CHEMBL4282543,0.4,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1,9.397940008672037
77,CHEMBL2029429,0.41,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,9.387216143280265
78,CHEMBL1204199,0.41,nM,CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC.Cl,9.387216143280265
79,CHEMBL31815,0.42,nM,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,9.3767507096021
80,CHEMBL188762,0.43,nM,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.366531544420413
81,CHEMBL2029428,0.43,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,9.366531544420413
82,CHEMBL351629,0.44,nM,CN(CC(=O)O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.356547323513812
83,CHEMBL39337,0.44,nM,Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,9.356547323513812
84,CHEMBL40734,0.44,nM,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.356547323513812
85,CHEMBL304271,0.45,nM,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.346787486224656
86,CHEMBL162821,0.45,nM,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.346787486224656
87,CHEMBL443523,0.45,nM,C=CC(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.346787486224656
88,CHEMBL3355875,0.47,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1[N+](=O)[O-],9.327902142064282
89,CHEMBL3818015,0.47,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)[C@@H]1COC(=O)N1,9.327902142064282
90,CHEMBL539822,0.47,nM,Cl.Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,9.327902142064282
91,CHEMBL3360609,0.47,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.327902142064282
92,CHEMBL54088,0.48,nM,C=CC(=O)Nc1cc2c(Nc3cccc(C)c3)ncnc2cn1,9.318758762624412
93,CHEMBL3360617,0.49,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.309803919971486
94,CHEMBL2021576,0.49,nM,O=C(O)[C@H]1O[C@@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.309803919971486
95,CHEMBL3355881,0.49,nM,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.309803919971486
96,CHEMBL4080720,0.5,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,9.301029995663981
97,CHEMBL203599,0.5,nM,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,9.301029995663981
98,CHEMBL3758582,0.5,nM,COc1ccc(C(=O)NCCN(C)C)cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981
99,CHEMBL2347958,0.5,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCOC1,9.301029995663981
100,CHEMBL4071474,0.5,nM,C=CC(=O)N1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,9.301029995663981
101,CHEMBL3758770,0.5,nM,COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,9.301029995663981
102,CHEMBL2021575,0.5,nM,O=C(O)[C@@H]1O[C@H]1C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.301029995663981
103,CHEMBL3633145,0.5,nM,C=CC(=O)Nc1cccc(-n2c(=O)c(Cc3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.301029995663981
104,CHEMBL3355882,0.5,nM,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.301029995663981
105,CHEMBL126791,0.51,nM,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,9.292429823902063
106,CHEMBL2031299,0.51,nM,O=C(CCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.292429823902063
107,CHEMBL2031304,0.51,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,9.292429823902063
108,CHEMBL3355876,0.51,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.292429823902063
109,CHEMBL3901296,0.51,nM,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@@]12COC[C@@H]1C2,9.292429823902063
110,CHEMBL3360604,0.52,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],9.2839966563652
111,CHEMBL3355889,0.53,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1c([N+](=O)[O-])cnc1C,9.275724130399212
112,CHEMBL4110258,0.54,nM,CN(C)CC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC[C@]12COC[C@H]1C2,9.267606240177031
113,CHEMBL3360611,0.54,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.267606240177031
114,CHEMBL49986,0.54,nM,C=CC(=O)Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.267606240177031
115,CHEMBL165547,0.56,nM,CN(CC(O)CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.2518119729938
116,CHEMBL3355880,0.56,nM,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,9.2518119729938
117,CHEMBL1243254,0.57,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)Cc1ccc(F)cc1,9.244125144327509
118,CHEMBL3360610,0.57,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.244125144327509
119,CHEMBL2029435,0.58,nM,C=CC(=O)Nc1cccc(N2C(=O)N(C3CC3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.236572006437063
120,CHEMBL378144,0.6,nM,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.221848749616356
121,CHEMBL4282954,0.6,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1,9.221848749616356
122,CHEMBL4105621,0.6,nM,C=CC(=O)Nc1cc(Cl)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.221848749616356
123,CHEMBL3891846,0.6,nM,C[C@@H](Nc1ncnc2oc(-c3ccc(NCCN4CCCCC4)cc3)cc12)c1ccccc1,9.221848749616356
124,CHEMBL127086,0.61,nM,O=C(O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.214670164989233
125,CHEMBL1204262,0.64,nM,CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC.Cl,9.193820026016112
126,CHEMBL3360607,0.65,nM,C#Cc1cccc(Nc2ncnc3cc(OCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,9.187086643357144
127,CHEMBL3920583,0.65,nM,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,9.187086643357144
128,CHEMBL162622,0.65,nM,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.187086643357144
129,CHEMBL3355878,0.66,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],9.18045606445813
130,CHEMBL1204168,0.66,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC.Cl,9.18045606445813
131,CHEMBL3814257,0.662,nM,CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.1791420105603
132,CHEMBL317925,0.67,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,9.173925197299173
133,CHEMBL3357636,0.67,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCCCC1,9.173925197299173
134,CHEMBL2437462,0.677,nM,C=CC(=O)Nc1cccc(-n2c(=O)cnc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)c1,9.169411331314855
135,CHEMBL2031307,0.68,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,9.167491087293763
136,CHEMBL92937,0.69,nM,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,9.161150909262744
137,CHEMBL3957055,0.69,nM,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)nn1)NO,9.161150909262744
138,CHEMBL280757,0.69,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,9.161150909262744
139,CHEMBL4293145,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1,9.154901959985743
140,CHEMBL3909201,0.7,nM,C=CC(=O)N1CC(Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C1,9.154901959985743
141,CHEMBL4287401,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1,9.154901959985743
142,CHEMBL4294211,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1,9.154901959985743
143,CHEMBL4279016,0.7,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,9.154901959985743
144,CHEMBL3940089,0.7,nM,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OCCC)CC1,9.154901959985743
145,CHEMBL4284071,0.71,nM,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CN4CCOCC4)cc3)ncc2Cl)c1,9.148741651280925
146,CHEMBL54091,0.72,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,9.142667503568731
147,CHEMBL289213,0.72,nM,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,9.142667503568731
148,CHEMBL339416,0.74,nM,[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,9.130768280269024
149,CHEMBL31373,0.75,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.1249387366083
150,CHEMBL28418,0.75,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1,9.1249387366083
151,CHEMBL3360602,0.77,nM,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCn1ccnc1[N+](=O)[O-],9.113509274827518
152,CHEMBL53555,0.77,nM,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.113509274827518
153,CHEMBL3814882,0.772,nM,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.112382699664265
154,CHEMBL31326,0.78,nM,C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,9.10790539730952
155,CHEMBL1090357,0.78,nM,CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,9.10790539730952
156,CHEMBL3352899,0.78,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],9.10790539730952
157,CHEMBL162142,0.78,nM,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.10790539730952
158,CHEMBL53300,0.79,nM,Nc1ccc2ncncc2c1,9.102372908709558
159,CHEMBL4129781,0.8,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,9.096910013008056
160,CHEMBL4277911,0.8,nM,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(CC)CCN(C)C,9.096910013008056
161,CHEMBL36727,0.8,nM,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,9.096910013008056
162,CHEMBL4087740,0.8,nM,C=CC(=O)Nc1cc(F)cc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.096910013008056
163,CHEMBL2029437,0.8,nM,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccc4ccccc4c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,9.096910013008056
164,CHEMBL1243345,0.8,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCF,9.096910013008056
165,CHEMBL3814959,0.803,nM,NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1,9.09528445472132
166,CHEMBL3360620,0.82,nM,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-],9.086186147616283
167,CHEMBL599047,0.85,nM,O=C(Cn1sc2ccccc2c1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.070581074285707
168,CHEMBL3814211,0.854,nM,NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.068542129310995
169,CHEMBL3357638,0.89,nM,CCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN(C)C,9.050609993355087
170,CHEMBL3355874,0.89,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCn1ccnc1[N+](=O)[O-],9.050609993355087
171,CHEMBL96065,0.89,nM,COc1cc2ncnc(Nc3cccc(I)c3)c2cc1OC,9.050609993355087
172,CHEMBL3233785,0.9,nM,O=C(/C=C/CN1CC2CCC1C(=O)C2)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,9.045757490560675
173,CHEMBL3946096,0.9,nM,C=CC(=O)N1CC[C@@H](Oc2cc3c(Nc4ccc(F)c(Cl)c4F)ncnc3cc2OC)C[C@@H]1C(=O)NC,9.045757490560675
174,CHEMBL3622664,0.9,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CNC1CC1,9.045757490560675
175,CHEMBL3759369,0.9,nM,C[C@@H](Nc1ncnc2sc(-c3cccc(C(=O)NCCN(C)C)c3)cc12)c1ccccc1,9.045757490560675
176,CHEMBL205059,0.9,nM,O=C(C#CCCN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,9.045757490560675
177,CHEMBL3759199,0.9,nM,COc1cccc(OC)c1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2s1,9.045757490560675
178,CHEMBL338114,0.91,nM,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.040958607678906
